# Bornomala Bangla phonetic-key index: ambiguity-collapsed key -> Bangla words.
# Generated by scripts/gen_bn_phonetic.py from bn_frequency.txt; do not hand-edit.
# The key algorithm is BanglaPhoneticKey.banglaKey; BanglaPhoneticKeyTest re-derives
# every line below with the Kotlin implementation so the two cannot drift.
a	আ আঃ
bikipt	বিক্ষিপ্ত
bikirn	বিকিরণ
biklp	বিকল্প
bikreta	বিক্রেতা
bikri	বিক্রি
bikrir	বিক্রির
bikrit	বিকৃত
bikrm	বিক্রম
bikry	বিক্রয়
biksa	ভিক্ষা
biksipt	বিক্ষিপ্ত
biktr	ভিক্টর
biktrer	ভিক্টরের
bikyat	বিখ্যাত
bil	বিল
bila	বইলা
bilal	বিলাল
bilb	বিল্বো বিলবো
bilding	বিল্ডিং
bildingye	বিল্ডিংয়ে
bildingyer	বিল্ডিংয়ের
bilen	ভিলেন
bilener	ভিলেনের
biler	বিলের
bili	বিলি
biliyn	বিলিয়ন
bilmbe	অবিলম্বে
bilupt	বিলুপ্ত
bima	বীমা
biman	বিমান
bimane	বিমানে
bimaner	বিমানের
bimt	অভিমত
bin	ভিন্ন বিন
bina	বিনা
binamulye	বিনামূল্যে
bindn	বিনোদন
bindner	বিনোদনের
bindu	বিন্দু
bindumatr	বিন্দুমাত্র
bineta	অভিনেতা
binetri	অভিনেত্রী
binimy	বিনিময়
binimye	বিনিময়ে
biniyg	বিনিয়োগ
binndn	অভিনন্দন
bins	বিন্স
binsbr	অবিনশ্বর
binsent	ভিনসেন্ট
binu	ভিনু
binur	ভিনুর
biny	অভিনয়
bip	বিপ
bipd	বিপদ
bipde	বিপদে
bipder	বিপদের
bipdjnk	বিপদজনক
bipdmukt	বিপদমুক্ত
biping	বীপিং
bipjnk	বিপজ্জনক
bipke	বিপক্ষে
bipkse	বিপক্ষে
biplb	বিপ্লব
biplber	বিপ্লবের
biprit	বিপরীত
biprite	বিপরীতে
bipryst	বিপর্যস্ত
bipryy	বিপর্যয়
bir	বীর ভিড়
biraj	বিরাজ
biral	বিড়াল
biraler	বিড়ালের
birat	বিরাট
birdi	বিরোধী
birdita	বিরোধিতা
birer	ভিড়ের
biri	বিড়ি
biriyani	বিরিয়ানি
birkt	বিরক্ত
birkti	বিরক্তি
birktikr	বিরক্তিকর
birl	বিরল
birt	বিরত অবিরত
birtber	বীরত্বের
birti	বিরতি
birtir	বিরতির
birude	বিরুদ্ধে
biry	বীর্য
bis	বিষ বিশ
bisa	ভিসা
bisakt	বিষাক্ত
bisal	বিশাল
bisap	অভিশাপ
bisb	বিশ্ব
bisbas	বিশ্বাস অবিশ্বাস
bisbase	বিশ্বাসে
bisbaser	বিশ্বাসের
bisbasgatk	বিশ্বাসঘাতক
bisbasgatkta	বিশ্বাসঘাতকতা
bisbasi	বিশ্বাসই বিশ্বাসী
bisbasjgy	বিশ্বাসযোগ্য
bisbasy	অবিশ্বাস্য
bisbbidyaly	বিশ্ববিদ্যালয়
bisbe	বিশ্বে
bisber	বিশ্বের
bisbjud	বিশ্বযুদ্ধ
bisbke	বিশ্বকে
bisbst	বিশ্বস্ত
bisek	অভিষেক
biser	বিষের
bises	বিশেষ
bisesbabe	বিশেষভাবে
bisesg	বিশেষজ্ঞ
bisesgy	বিশেষজ্ঞ
bisesjn	বিশেষজ্ঞ
bisest	বিশেষত
bisestb	বিশেষত্ব
bisist	বিশিষ্ট
bisisty	বৈশিষ্ট্য
biskit	বিস্কিট
biskut	বিস্কুট
bislesn	বিশ্লেষণ
bismit	বিস্মিত
bismy	বিস্ময়
bismykr	বিস্ময়কর
bisn	ভীষণ বিষণ্ণ ভীষন
bisp	বিশপ
bisprit	বিস্ফোরিত
bisprk	বিস্ফোরক
bisprn	বিস্ফোরণ
bisprne	বিস্ফোরণে
bisprner	বিস্ফোরণের
bispt	অভিশপ্ত
bisram	বিশ্রাম
bisramer	বিশ্রামের
bisri	বিশ্রী
bisringkla	বিশৃঙ্খলা
bisrjn	বিসর্জন
bist	বিস্ট
bista	বিষ্ঠা ভিস্তা
bistar	বিস্তার
bistarit	বিস্তারিত
bistrit	বিস্তৃত
bisud	বিশুদ্ধ
bisy	বিষয়
bisye	বিষয়ে
bisyei	বিষয়েই
bisyer	বিষয়ের
bisygul	বিষয়গুলো
bisyk	বিষয়ক
bisyta	বিষয়টা
bisyti	বিষয়টি
bit	ভীত বিট বীট
bita	বইটা বৈঠা
bitali	ভিতালি
bitamin	ভিটামিন
bite	বইতে
biti	ভিত্তি ভীতি
bitikr	ভীতিকর
bitite	ভিত্তিতে
bitk	বৈঠক
bitr	ভিতর
bitre	ভিতরে
bitrei	ভিতরেই
bitrer	ভিতরের
bitrisna	বিতৃষ্ণা
bitrn	বিতরণ
bitu	ভীতু
bitur	ভীতুর
biu	ভিউ
biuti	বিউটি
biya	বিয়া
biyar	বিয়ার
biye	বিয়ে বইয়ে বিয়েও
biyer	বিয়ের বইয়ের
biyeta	বিয়েটা
biyete	বিয়েতে
biyetnamer	ভিয়েতনামের
bj	বোঝো বোঝ ভোজ
bja	বোঝা বোঝাও
bjaci	বোঝাচ্ছি
bjai	বোঝাই
bjan	বোঝানো
bjanr	বোঝানোর
bjapra	বোঝাপড়া
bjar	বোঝার
bjat	বজ্জাত বজ্জাৎ
bjate	বোঝাতে
bjay	বজায় বোঝায়
bje	বোঝে
bjen	বোঝেন
bjna	অবজ্ঞা
bjr	বজ্র
bjrpat	বজ্রপাত
bka	বোকা
bkacndr	বোকাচন্দ্র
bkami	বোকামি
bkar	বোকার
bkbk	বকবক
bks	বক্স
bksar	বক্সার
bkse	বক্সে
bkser	বক্সের
bksing	বক্সিং
bkt	ভক্ত
bktby	বক্তব্য
bktrita	বক্তৃতা
bl	বলো বল বোলো
bla	বলা ব্লা
blabli	বলাবলি
blad	ব্লাড
blai	বলাই
blak	ব্লাক
blakud	ব্লাকউড
blar	বলার
blast	ব্লাস্ট
blata	বলাটা
blate	বলাতে
blay	বলায়
blb	বলবো বলব
blba	বলবা
blbe	বলবে
blben	বলবেন
blbena	বলবেনা
blbi	বলবি
blbna	বলবনা বলবোনা
blc	বলছ বলছো
blce	বলছে
blcen	বলছেন
blci	বলছি
blcil	বলছিল বলছিলো
blcilam	বলছিলাম
blcile	বলছিলে
blcilen	বলছিলেন
blcina	বলছিনা
blcis	বলছিস
bld	বলদ
bldemrt	ভলডেমর্ট
bldemrter	ভলডেমর্টের
blder	বলদের
ble	বলে
blec	বলেছ বলেছো
blece	বলেছে
blecen	বলেছেন
bleci	বলেছি
blecil	বলেছিল বলেছিলো
blecilam	বলেছিলাম
blecile	বলেছিলে
blecilen	বলেছিলেন
blecili	বলেছিলি
blecis	বলেছিস
bled	ব্লেড
blei	বলেই
blek	ব্লেক
blen	বলেন
blena	বলেনা
bleni	বলেনি
blenni	বলেননি
blens	বোলেন্স
bler	বলের
blg	ব্লগ
bli	বলি বলিও
blidan	বলিদান
blina	বলিনা
blini	বলিনি
blir	বলির
blis	বলিস
blk	ব্লক
blke	ব্লকে
blker	ব্লকের
bll	বললো বলল
bllam	বললাম
blle	বললে বললেও
bllei	বললেই
bllen	বললেন
bllena	বললেনা
blli	বললি
blmbn	অবলম্বন
blna	বলনা বলোনা
blni	বলোনি বলনি
blp	ওয়লফ
blt	বলতো বলত ভল্ট
blta	বলটা
bltam	বলতাম
blte	বলতে ভল্টে
bltec	বলতেছো
blteci	বলতেছি
bltei	বলতেই
blten	বলতেন
blter	ভল্টের
blu	ব্লু
bluk	বলুক
blun	বলুন
bluprint	ব্লুপ্রিন্ট
blyak	ব্ল্যাক
blyakbeyard	ব্ল্যাকবেয়ার্ড
blyakbiyard	ব্ল্যাকবিয়ার্ড
blyakmeil	ব্ল্যাকমেইল
bm	বোম
bma	বোমা
bmar	বোমার
bmata	বোমাটা
bmbl	ভোম্বল
bmi	বমি
bn	বোন বন
bnam	বনাম
bnd	বন্ধ বন্ড ভন্ড
bndbst	বন্দোবস্ত
bndi	বন্দী বন্দি
bndider	বন্দীদের
bndn	বন্ধন
bndr	বন্দর
bndre	বন্দরে
bndu	বন্ধু
bndubandb	বন্ধুবান্ধব
bnduder	বন্ধুদের
bndugn	বন্ধুগণ
bnduk	বন্দুক
bnduke	বন্ধুকে
bnduker	বন্দুকের
bndukta	বন্দুকটা
bndur	বন্ধুর
bndura	বন্ধুরা
bndutb	বন্ধুত্ব
bndutber	বন্ধুত্বের
bne	বনে
bner	বোনের বনের
bnera	বোনেরা
bng	ভঙ্গ
bnganubade	বঙ্গানুবাদে
bngi	ভঙ্গি
bngs	বংশ
bngser	বংশের
bnke	বোনকে
bnrkk	বনরক্ষক
bnrksk	বনরক্ষক
bny	বন্য
bnya	বন্যা
bpur	বফুর
br	বড় ভর ব্রো বর বড়ো ভোর বোর
bra	ভরা ব্রা
brab	ব্রাভো
brabr	বরাবর
brabrer	বরাবরের
brad	বরাদ্দ
bradar	ব্রাদার
brant	ব্রান্ট
bras	ব্রাশ
braun	ব্রাউন
brayan	ব্রায়ান
brbad	বরবাদ
brbr	বর্বর
brd	বোর্ড অবরোধ
brdar	বর্ডার
brdare	বর্ডারে
brdast	বরদাশত
brde	বোর্ডে
brden	বর্ডেন
brder	বড়দের বোর্ডের
brdin	বড়দিন
brding	বোর্ডিং
bre	ভরে ভোরে
brein	ব্রেইন
brek	ব্রেক
breking	ব্রেকিং
brekpast	ব্রেকফাস্ট
bren	ব্রেন
brenda	ব্রেন্ডা
brer	ভোরের
brhmand	ব্রহ্মাণ্ড
bri	বড়ই বড়ি
brid	বৃদ্ধ
bridi	বৃদ্ধি
brihsptibar	বৃহস্পতিবার
briht	বৃহৎ
brihtm	বৃহত্তম
brij	ব্রিজ
brije	ব্রিজে
brijer	ব্রিজের
brik	বৃক্ষ
briks	বৃক্ষ
bring	বোরিং
bripkes	ব্রিফকেস
bristi	বৃষ্টি
bristir	বৃষ্টির
bristite	বৃষ্টিতে
brit	বৃত্ত ব্রিট
brita	বৃথা ব্রিটা
britener	ব্রিটেনের
briter	বৃত্তের
britis	ব্রিটিশ
brity	ভৃত্য
brjy	বর্জ্য
brkast	বরখাস্ত
brlk	বড়লোক
brm	বর্ম
brmn	ভ্রমণ ভ্রমন
brmne	ভ্রমণে ভ্রমনে
brmner	ভ্রমণের
brn	বর্ণ
brnc	বরঞ্চ
brng	বরং
brnna	বর্ণনা
brp	বরফ
brpe	বরফে
brper	বরফের
brpur	ভরপুর
brsa	ভরসা বর্শা
brse	বর্ষে
brsi	বঁড়শি
brsit	বর্ষিত
brsn	বর্ষণ
brsr	বড়সড়
brteks	ভরটেক্স
brti	ভর্তি
brtman	বর্তমান
brtmane	বর্তমানে
bru	ব্রু
bruks	ব্রুকস
brun	ব্রুণো ভরুন
brus	ব্রুস
bryand	ব্র্যান্ড
bs	বস বসো বোস বশ
bsa	বসা
bsan	অবসান
bsanr	বসানোর
bsar	বসার
bsb	বসবো
bsbas	বসবাস
bsbe	বসবে
bse	বসে বশে
bsece	বসেছে
bsecil	বসেছিল
bsecilam	বসেছিলাম
bsei	বসেই
bsen	বসেন
bser	বসের
bsese	অবশেষে
bsi	বসি
bsist	অবশিষ্ট
bsiye	বসিয়ে
bske	বসকে
bsnt	বসন্ত
bsnter	বসন্তের
bsr	অবসর
bsre	অবসরে
bsrer	অবসরের
bsrprapt	অবসরপ্রাপ্ত
bsta	অবস্থা বস্তা
bstan	অবস্থান
bstane	অবস্থানে
bstaner	অবস্থানের
bstar	অবস্থার
bstata	অবস্থাটা
bstatei	অবস্থাতেই
bstay	অবস্থায়
bste	বসতে
bsti	বসতি
bstit	অবস্থিত
bstne	বোস্টনে
bstu	বস্তু
bstur	বস্তুর
bstut	বস্তুত
bsun	বসুন
bsy	অবশ্য
bsyi	অবশ্যই
bsymbabi	অবশ্যম্ভাবী
bt	ভোট বোট বোথ
bta	ভোঁতা
btam	বোতাম
btamta	বোতামটা
bte	বটে বোটে
btei	বটেই
btl	বোতল
btler	বোতলের
btlta	বোতলটা
btrn	অবতরণ
bts	বৎস
btsr	বৎসর
bu	বউ ভৌ বু বৌ
bub	বুভ
bubder	বুভদের
bubra	বুভরা
buda	বুদ্ধা
budbar	বুধবার
buder	বুদ্ধের
budi	বুদ্ধি
budiman	বুদ্ধিমান
budimaner	বুদ্ধিমানের
budimta	বুদ্ধিমত্তা
budimtar	বুদ্ধিমত্তার
budimti	বুদ্ধিমতী
budir	বুদ্ধির
budita	বুদ্ধিটা
budu	বুদ্ধু
bugce	ভুগছে
bugrbst	ভূগর্ভস্থ
bugte	ভুগতে
buira	বুইড়া
buj	বুঝো বুঝ
buja	বুঝা
bujaci	বুঝাচ্ছি
bujanr	বুঝানোর
bujar	বুঝার
bujate	বুঝাতে
bujay	বুঝায়
bujb	বুঝবো বুঝব
bujbe	বুঝবে
bujben	বুঝবেন
bujbena	বুঝবেনা
bujc	বুঝছ বুঝছো
bujci	বুঝছি
bujcis	বুঝছিস
buje	বুঝে
bujec	বুঝেছ বুঝেছো
bujece	বুঝেছে
bujecen	বুঝেছেন
bujeci	বুঝেছি
bujecilam	বুঝেছিলাম
bujecis	বুঝেছিস
buji	বুঝি
bujina	বুঝিনা
bujini	বুঝিনি
bujis	বুঝিস
bujiye	বুঝিয়ে
bujiyeci	বুঝিয়েছি
bujlam	বুঝলাম
bujle	বুঝলে
bujlen	বুঝলেন
bujli	বুঝলি
bujni	বুঝনি
bujte	বুঝতে বুজতে
bujtei	বুঝতেই
buk	বুক
buke	বুকে বউকে
buker	বুকের
buking	বুকিং
bukta	বুকটা
bul	ভুল ভুলো ভূল
bulb	ভুলবো
bulben	ভুলবেন
bule	ভুলে ভুলেও ভূলে
